Avg,BMI,BMI Rating,HR,Handedness,Height,Name,Ratio,Weight
0.286,25.0877700617,Overweight,78,Right,72,Phil Bradley,2.72727272727,185
0.306,25.7994445547,Overweight,75,Left,71,Ralph Garr,2.45098039216,185
0.262,28.8851351351,Overweight,69,Right,74,John Ellis,2.63358778626,225
0.267,23.7455432539,Healthy,64,Both,73,Wes Parker,2.39700374532,180
0.261,26.2453333333,Overweight,116,Right,75,Rick Reichardt,4.44444444444,210
0.267,24.9955555556,Healthy,78,Right,75,Leon Roberts,2.92134831461,200
0.242,26.7763157895,Overweight,81,Left,76,Johnny Edwards,3.34710743802,220
0.249,24.3918918919,Healthy,65,Right,74,Tom Grieve,2.61044176707,190
0.276,23.0536265432,Healthy,66,Right,72,Danny Cater,2.39130434783,170
0.24,25.6756756757,Overweight,61,Right,74,Bill Schroeder,2.54166666667,200
0.233,25.7658179012,Overweight,55,Left,72,Clay Dalrymple,2.36051502146,190
0.274,27.8912914104,Overweight,90,Left,71,Carlos May,3.28467153285,200
0.287,24.4097222222,Healthy,314,Both,72,Reggie Smith,10.9407665505,180
0.261,22.4263464065,Healthy,136,Right,73,Davey Johnson,5.21072796935,170
0.278,24.9506578947,Healthy,123,Right,76,Ellis Valentine,4.42446043165,205
0.271,22.9551020408,Healthy,160,Both,70,Roy White,5.90405904059,160
0.292,26.0783574688,Overweight,351,Right,71,Dick Allen,12.0205479452,187
0.282,24.1351351351,Healthy,475,Left,74,Willie Stargell,16.8439716312,188
0.258,23.7455432539,Healthy,87,Left,73,Del Unser,3.37209302326,180
0.259,23.7455432539,Healthy,93,Both,73,Lee Mazzilli,3.59073359073,180
0.245,23.75,Healthy,90,Both,74,Alan Ashby,3.67346938776,185
0.247,26.9594594595,Overweight,91,Right,74,Bob Brenly,3.68421052632,210
0.293,25.7243385251,Overweight,52,Left,73,Ron Blomberg,1.7747440273,195
0.259,22.237755102,Healthy,95,Right,70,Jerry Morales,3.66795366795,155
0.263,25.1018693552,Overweight,155,Right,69,Davey Lopes,5.89353612167,170
0.25,22.9551020408,Healthy,291,Right,70,Jimmy Wynn,11.64,160
0.265,25.0647401013,Overweight,151,Right,73,Jim Fregosi,5.69811320755,190
0.267,25.0337837838,Overweight,548,Right,74,Mike Schmidt,20.5243445693,195
0.275,23.0536265432,Healthy,139,Left,72,Willie Montanez,5.05454545455,170
0.255,26.3175675676,Overweight,54,Left,74,Champ Summers,2.11764705882,205
0.259,22.9551020408,Healthy,79,Right,70,Bert Campaneris,3.05019305019,160
0.257,23.7335526316,Healthy,134,Left,76,Tom Haller,5.2140077821,195
0.242,25.0337837838,Overweight,73,Right,74,Ron Swoboda,3.01652892562,195
0.297,27.2162162162,Overweight,252,Right,74,Joe Torre,8.48484848485,212
0.259,26.3839369488,Overweight,51,Right,73,Al Ferrara,1.96911196911,200
0.271,23.6724489796,Healthy,148,Right,70,Sixto Lezcano,5.46125461255,165
0.212,27.6013513514,Overweight,61,Right,74,Dave Nicholson,2.87735849057,215
0.279,23.1081081081,Healthy,182,Left,74,Willie Davis,6.52329749104,180
0.268,25.0647401013,Overweight,332,Right,73,Bobby Bonds,12.3880597015,190
0.25,25.0877700617,Overweight,101,Right,72,Denis Menke,4.04,185
